"","Datum","Warengruppe","Umsatz","Wochentag","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Feiertage","istFeiertag"
"1",2013-07-01,"Brot",148.828353112183,"Montag",0,6,17.8375,15,20,"0",0
"2",2013-07-02,"Brot",159.79375714468,"Dienstag",0,3,17.3125,10,NA,"0",0
"3",2013-07-03,"Brot",111.885593514353,"Mittwoch",0,7,21.075,6,61,"0",0
"4",2013-07-04,"Brot",168.864940979931,"Donnerstag",0,7,18.85,7,20,"0",0
"5",2013-07-05,"Brot",171.280754117955,"Freitag",0,5,19.975,12,NA,"0",0
"6",2013-07-06,"Brot",174.552359998476,"Samstag",0,0,18.9625,8,NA,"0",0
"7",2013-07-07,"Brot",92.6377553788373,"Sonntag",0,0,21.375,9,NA,"0",0
"8",2013-07-08,"Brot",135.500244042392,"Montag",0,0,22.725,10,5,"0",0
"9",2013-07-09,"Brot",136.048382778344,"Dienstag",0,0,23.275,8,NA,"0",0
"10",2013-07-10,"Brot",135.132314289581,"Mittwoch",0,2,19.6875,13,5,"0",0
"11",2013-07-11,"Brot",138.549392636714,"Donnerstag",0,0,21.375,12,5,"0",0
"12",2013-07-12,"Brot",101.447511461298,"Freitag",0,0,20.2875,7,NA,"0",0
"13",2013-07-13,"Brot",141.233309883732,"Samstag",0,1,20.125,12,NA,"0",0
"14",2013-07-14,"Brot",112.524365708762,"Sonntag",0,5,17.6875,15,5,"0",0
"15",2013-07-15,"Brot",161.264677322182,"Montag",0,6,18.7375,12,NA,"0",0
"16",2013-07-16,"Brot",116.821358174215,"Dienstag",0,1,21.1875,10,NA,"0",0
"17",2013-07-17,"Brot",150.572919592838,"Mittwoch",0,5,22.5125,8,NA,"0",0
"18",2013-07-18,"Brot",101.90072129658,"Donnerstag",0,1,23.25,11,5,"0",0
"19",2013-07-19,"Brot",161.63511518654,"Freitag",0,3,22.475,16,5,"0",0
"20",2013-07-20,"Brot",134.328076682024,"Samstag",0,0,23.1875,8,NA,"0",0
"21",2013-07-21,"Brot",66.2887578161955,"Sonntag",0,0,26.375,8,NA,"0",0
"22",2013-07-22,"Brot",131.223948997842,"Montag",0,0,26.1,9,NA,"0",0
