"","Feiertage","Datum"
"1","Neujahrstag","2013-01-01"
"2","Karfreitag","2013-03-29"
"3","Ostermontag","2013-04-01"
"4","Tag der Arbeit","2013-05-01"
"5","Christi Himmelfahrt","2013-05-09"
"6","Pfingstmontag","2013-05-20"
"7","Tag der Deutschen Einheit","2013-10-03"
"8","1. Weihnachtstag","2013-12-25"
"9","2. Weihnachtstag","2013-12-26"
"10","Reformationstag","NA"
"11","Neujahrstag","NA"
"12","Karfreitag","NA"
"13","Ostermontag","NA"
"14","Tag der Arbeit","NA"
"15","Christi Himmelfahrt","NA"
"16","Pfingstmontag","NA"
"17","Tag der Deutschen Einheit","NA"
"18","1. Weihnachtstag","NA"
"19","2. Weihnachtstag","NA"
"20","Reformationstag","NA"
"21","Neujahrstag","2014-01-01"
"22","Karfreitag","2014-04-18"
"23","Ostermontag","2014-04-21"
"24","Tag der Arbeit","2014-05-01"
"25","Christi Himmelfahrt","2014-05-29"
"26","Pfingstmontag","2014-06-09"
"27","Tag der Deutschen Einheit","2014-10-03"
"28","1. Weihnachtstag","2014-12-25"
"29","2. Weihnachtstag","2014-12-26"
"30","Reformationstag","NA"
"31","Neujahrstag","2015-01-01"
"32","Karfreitag","2015-04-03"
"33","Ostermontag","2015-04-06"
"34","Tag der Arbeit","2015-05-01"
"35","Christi Himmelfahrt","2015-05-14"
"36","Pfingstmontag","2015-05-25"
"37","Tag der Deutschen Einheit","2015-10-03"
"38","1. Weihnachtstag","2015-12-25"
"39","2. Weihnachtstag","2015-12-26"
"40","Reformationstag","NA"
"41","Neujahrstag","2016-01-01"
"42","Karfreitag","2016-03-25"
"43","Ostermontag","2016-03-28"
"44","Tag der Arbeit","2016-05-01"
"45","Christi Himmelfahrt","2016-05-05"
"46","Pfingstmontag","2016-05-16"
"47","Tag der Deutschen Einheit","2016-10-03"
"48","1. Weihnachtstag","2016-12-25"
"49","2. Weihnachtstag","2016-12-26"
"50","Reformationstag","NA"
"51","Neujahrstag","2017-01-01"
"52","Karfreitag","2017-04-14"
"53","Ostermontag","2017-04-17"
"54","Tag der Arbeit","2017-05-01"
"55","Christi Himmelfahrt","2017-05-25"
"56","Pfingstmontag","2017-06-05"
"57","Tag der Deutschen Einheit","2017-10-03"
"58","1. Weihnachtstag","2017-12-25"
"59","2. Weihnachtstag","2017-12-26"
"60","Reformationstag","2017-10-31"
"61","Neujahrstag","2018-01-01"
"62","Karfreitag","2018-03-30"
"63","Ostermontag","2018-04-02"
"64","Tag der Arbeit","2018-05-01"
"65","Christi Himmelfahrt","2018-05-10"
"66","Pfingstmontag","2018-05-21"
"67","Tag der Deutschen Einheit","2018-10-03"
"68","1. Weihnachtstag","2018-12-25"
"69","2. Weihnachtstag","2018-12-26"
"70","Reformationstag","2018-10-31"
"71","Neujahrstag","2019-01-01"
"72","Karfreitag","2019-04-19"
"73","Ostermontag","2019-04-22"
"74","Tag der Arbeit","2019-05-01"
"75","Christi Himmelfahrt","2019-05-30"
"76","Pfingstmontag","2019-06-10"
"77","Tag der Deutschen Einheit","2019-10-03"
"78","1. Weihnachtstag","2019-12-25"
"79","2. Weihnachtstag","2019-12-26"
"80","Reformationstag","2019-10-31"
