"","Datum","Warengruppe","Umsatz","Wochentag","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode"
"1",2013-07-01,"Brot",148.828353112183,"Freitag",NA,6,17.8375,15,20
"2",2013-07-02,"Brot",159.79375714468,"Montag",NA,3,17.3125,10,NA
"3",2013-07-03,"Brot",111.885593514353,"Donnerstag",NA,7,21.075,6,61
"4",2013-07-04,"Brot",168.864940979931,"Dienstag",NA,7,18.85,7,20
"5",2013-07-05,"Brot",171.280754117955,"Mittwoch",NA,5,19.975,12,NA
"6",2013-07-06,"Brot",174.552359998476,"Samstag",NA,0,18.9625,8,NA
"7",2013-07-07,"Brot",92.6377553788373,"Sonntag",NA,0,21.375,9,NA
"8",2013-07-08,"Brot",135.500244042392,"Freitag",NA,0,22.725,10,5
"9",2013-07-09,"Brot",136.048382778344,"Montag",NA,0,23.275,8,NA
"10",2013-07-10,"Brot",135.132314289581,"Donnerstag",NA,2,19.6875,13,5
"11",2013-07-11,"Brot",138.549392636714,"Dienstag",NA,0,21.375,12,5
"12",2013-07-12,"Brot",101.447511461298,"Mittwoch",NA,0,20.2875,7,NA
"13",2013-07-13,"Brot",141.233309883732,"Samstag",NA,1,20.125,12,NA
"14",2013-07-14,"Brot",112.524365708762,"Sonntag",NA,5,17.6875,15,5
"15",2013-07-15,"Brot",161.264677322182,"Freitag",NA,6,18.7375,12,NA
"16",2013-07-16,"Brot",116.821358174215,"Montag",NA,1,21.1875,10,NA
"17",2013-07-17,"Brot",150.572919592838,"Donnerstag",NA,5,22.5125,8,NA
"18",2013-07-18,"Brot",101.90072129658,"Dienstag",NA,1,23.25,11,5
"19",2013-07-19,"Brot",161.63511518654,"Mittwoch",NA,3,22.475,16,5
"20",2013-07-20,"Brot",134.328076682024,"Samstag",NA,0,23.1875,8,NA
"21",2013-07-21,"Brot",66.2887578161955,"Sonntag",NA,0,26.375,8,NA
"22",2013-07-22,"Brot",131.223948997842,"Freitag",NA,0,26.1,9,NA
"23",2013-07-23,"Brot",110.315246796665,"Montag",NA,0,24.95,12,NA
"24",2013-07-24,"Brot",141.891908195545,"Donnerstag",NA,3,24.075,11,NA
"25",2013-07-25,"Brot",167.701216640907,"Dienstag",NA,2,23.0875,9,NA
"26",2013-07-26,"Brot",147.272084366206,"Mittwoch",NA,3,27.2625,6,NA
"27",2013-07-27,"Brot",161.403357795112,"Samstag",NA,1,26.1625,10,NA
"28",2013-07-28,"Brot",86.0791432446654,"Sonntag",NA,4,24.8875,13,61
"29",2013-07-29,"Brot",183.564164400591,"Freitag",NA,1,22.7875,10,NA
"30",2013-07-30,"Brot",132.111640117897,"Montag",NA,5,21.075,13,21
